(BBG)",,,"Date
(HC)",,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2025,FY2026,FY2024,FY2025,FY2026,FY2025,,2024Y,2025Y,2026Y,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,2024Y,2025Y,2026Y,Gold,Silver,Copper,Zinc,Lead,Gold,Silver,Copper,Zinc,Lead,Gold,Silver,Copper,Zinc,Lead,Reserves,M&I,"M,I&I",Reserves,M&I,"M,I&I",2021Y,2022Y,2023Y,2024Y,2024Y,2025Y,2026Y,,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,SP_FCF_FWD,,,SP_TEV_EBITDA_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SNL_ATTRIBUTABLE_PRODUCTION_PROJECTION_HIGH_OZ,,,,,,,,,,,,,,,,,,SNL_ATTRIBUTABLE_RESV_OZ,,,SNL_ATTRIBUTABLE_RESV_TONNES,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_OZ,,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_TONNES,,SNL_ATTRIBUTABLE_TOTAL_RESRC_OZ,,,SNL_ATTRIBUTABLE_TOTAL_RESRC_TONNES,,,,,,,,SNL_ALL_IN_SUSTAINING_COST_OZ,,,,SNL_PROJ_ALL_IN_SUSTAINING_COST_HIGH_OZ,,,,-,,,
,,,,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,SNL_ATTRIBUTABLE_PRODUCTION_PROJECTION_LOW_OZ,,,SP_GOLD_PRODUCTION_EST,,,SP_SILVER_PRODUCTION_EST,,,SP_COPPER_PRODUCTION_EST,,,,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,SNL_PROJ_ALL_IN_SUSTAINING_COST_LOW_OZ,,,,,,,
2026-01-02 00:00:00,,,,21/08/2025,Confirmed,29/04/2025,29317.810708305195,28661.251477605143,Northern Star,NST AU EQUITY,ASX:NST,1.02631915,8.387241715,8.141875756,11.2611181702,0.011604705706354844,0.02261969336566376,0.012909034202174529,16.2733639648,19.1326874814,7.983759397758,7.7859055393935,8.8625871517925,0.2792985061702075,0.118,1263,1645,1650,1635.25,1624.17,1632.64545,0,0,0,0,0,0,1635.25,1624.17,1632.64545,17928.641313747252,18050.94953625864,17957.242773258084,28600,0,0,0,0,24113.87,0,0,0,0,56718.568,0,0,0,0,28600,52713.869999999995,85318.568,1025.0982765141678,556.1688168276243,343.62755254290244,1108.022659441709,1184.962203184712,1184.0164875389055,1214.9831527261829,1203.1808339193444,1392.7495481456353,1788.0266764348148,,N,,YES,
,,,,,,,,,,,Average,1.2785586441916632,8.472930668574786,12.118115551638613,9.525207870372057,0.015641966602013953,0.04526741695754601,0.06789483307662807,19.707174189132882,13.514926181502172,7.592111194382216,9.582681101994456,6.978442454981514,,,3241.8571428571427,3103.3333333333335,3305,,,,,,,,,,3382.539495947619,3266.8789426238095,3189.7043935714287,21618.144661058705,21684.932677373905,21981.181922133022,,,,,,,,,,,,,,,,,,,1268.0957759461605,630.7409057222019,462.34412244160274,1113.0032370631013,1209.9946004549588,1326.7166410769864,1436.9975932465975,1372.5972619884778,1503.678506877948,1562.1053352869628,,-,,,
,,,,,,,,,Intermediate Producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
2026-01-14 00:00:00,,,,30/04/2025,Confirmed,,17925.113256770255,18385.38215884303,Alamos,AGI CT EQUITY,TSX:AGI,0.9477385361358549,13.5605842663237,19.246839802582,9.1632576410403,0.013242041851324817,0.017099182235316847,0.0461702200512441,30.3004574730344,16.1624987174368,13.4135910097619,16.165074733319,8.9241826417413,NM,0.0501597012911062,570,570,610,570.25,564.6143,615.84908,0,0,0,0,0,0,570.25,564.6143,615.84908,31433.780371363886,31747.536781782284,29106.3408859363,14292,11200,0,0,0,6635.97,14539,0,0,0,10986.35,16535,0,0,0,14404,21185.36,25555.7,1244.4538500951303,846.1085040221293,701.4135107537753,1135,1204,1160,1252,1275,1425,1550,,N,High,YES,
2025-10-15 00:00:00,,,,07/05/2025,Confirmed,,3882.405650943231,3919.422662079637,Allied Gold,AAUC CN EQUITY,TSX:AAUC,0.5436674126406014,10.5223697647651,8.8459977169541,4.2033976407477,-0.03634889173305119,-0.020139019647888178,0.12101272072258148,23.8694276836047,6.7997843694326,7.2317879461054,9.4585162064118,3.1915604708637,NM,0.272,390,387.5,600,357,377.51667,542,0,0,0,0,0,0,357,377.51667,542,10875.08585698384,10284.0641472686,7163.110057090832,9281.612,0,0,0,0,4087.389,0,0,0,0,5354.368,0,0,0,0,9281.612,13369.001,14635.98,418.29001804247275,290.4035724840795,265.26448184154606,,1388,1569,1699,1400,1740,,,N,,YES,
2025-11-05 00:00:00,,,,07/05/2025,Confirmed,,7439.0754570608715,7172.5035511762835,B2Gold,BTG US EQUITY,TSX:BTO,0.6978547252329341,5.1043659962648,7.7244956148444,5.1185572752936,-0.0632972847989102,0.03520388636943794,,10.2302466314448,10.5256606715959,3.4471704041018,4.1466343778796,3.1359079557982,0.12344197255384001,0.134,,,,821,970.6,929.3,0,0,0,0,0,0,821,970.6,929.3,9060.99324855161,7664.409084134423,8005.031160078415,8178,0,0,0,0,8518,0,0,0,0,15973.4,0,0,0,0,8178,16696,24151.4,909.6448345635696,445.56034122309967,308.01839467115246,888,1033,1201,1465,1450,1520,,,N,High,YES,
,,,,06/05/2025,Confirmed,,3222.6137790391845,3783.5083557720395,Centerra,CG CT EQUITY,TSX:CG,0.6890502215981396,4.8105584316014,9.9770877843843,7.1614976069595,0.031187984511777733,0.032531533811000234,0.047991171929881705,17.430666718446,9.7535249610192,2.1005118523986,6.1252992567815,4.9047870668952,NM,0.011,390,270,,391.63636,271,261.625,0,0,0,25.326,23.328,25.254,471.83536000000004,344.872,341.596,6829.9539463070005,9344.376403532859,9433.991554465463,5785,0,793.332,0,0,4967,10780,795.6,0,0,8871.4,22926,1364.132,0,0,8297.218,15891.418000000001,21717.629333333334,388.3969035210578,202.78956723932276,148.38699609321313,891,860,1013,1148,1125,1700,,,N,,YES,
2026-02-18 00:00:00,,,,07/05/2025,Confirmed,,14291.81147,14504.87547099,Coeur Mining,CDE US EQUITY,NYSE:CDE,2.04111136,12.7960199004,16.5227272727,7.5869017632,0.0038762828479603955,0.04223407510289975,0.1619627831137565,25.0689655172,10.6180963572,15.3716582945377,13.4283084119846,4.3835878508113,NM,0.139,332.5,415.25,425,339.65,417.625,414.775,11600,18263.66667,19291.8,0,0,0,455.65,600.2616667,607.693,31365.766421595526,23809.302280738164,23518.14398059547,3594,270530,0,0,0,4113,212805,0,687.998,348.656,6832.06,359978.052,0,906.534,439.291,6299.3,13484.029066666668,17959.821253333335,2268.79359135142,1059.90660501691,795.7657967975292,,,,,,,,,N,,YES,
2026-01-12 00:00:00,,,,06/05/2025,Confirmed,,7949.623144614834,8436.339960238869,Dundee Precious Metals,DPM CN EQUITY,TSX:DPM,0.9431829464507732,7.1442153733669,14.4481062890821,9.3246477198795,0.03381008012293566,0.05379109923720416,0.08779162569202928,16.9627183711507,10.4076757562859,3.9526546818557,14.2261324431823,7.6644999144097,NM,0.005,265,245,210,258.48571,249.95714,206.15556,0,726,2800,13.635,13.065,16.9875,301.66321,298.58964000000003,287.94931,26352.64387929451,26623.908132294317,27607.7172909872,6237.2,85867.4,207.507,655.5,418,2590.4,38250,134.021,219.3,150.6,9453.5,47071.4,2308.744,273.8,186.8,8715.012833333332,12442.052666666666,26361.036166666665,912.1757244245215,638.9318031029205,301.5671726389524,657,885,849,872,860,840,1375,,N,,YES,
2026-01-20 00:00:00,,,,01/05/2025,Confirmed,,9561.811433055085,9429.708240136071,Eldorado,EGO US EQUITY,TSX:ELD,0.9276068497959542,4.9517066761338,13.9965397579973,7.0614208830284,-0.0005390760637072105,-0.021660267189460007,0.07113157511544822,27.7620531608817,9.9934434848684,4.2726403650049,10.5142125682361,4.8140538706498,0.1551916064448006,,530,480,635,509.5,478.77778,550.8,0,0,0,0,3.6,28.35,509.5,490.17778,640.5749999999999,18767.048936320087,19506.82348974506,14926.919459946277,12555.2,37245,741,475,360,4846.2,24236,248,329,241,15351.15,84425,496,632,492,16013.150000000001,22392.77666666667,34772.01666666666,597.1224545486107,427.00427800401195,274.9858176106674,1068,1276,1220,1285,1240,1637.5,,,N,,YES,
