Last Earnings Date,Enterprise Value (US$),Market Cap ($US),Unnamed: 3,Unnamed: 4,Price / NAV Consensus,Price / CF,Unnamed: 7,Unnamed: 8,FCF Yield %,Unnamed: 10,Unnamed: 11,Price / Earnings,Unnamed: 13,Unnamed: 14,Net Debt / EBITDA, Debt / Equity,EV / EBITDA,Unnamed: 18,Unnamed: 19,Avg daily production (MBOE),Unnamed: 21,Unnamed: 22,EV/Production MBOE ,Unnamed: 24,Unnamed: 25,Attributable Reserves,Attributable M&I Resources,Attributable Total Resources
,,,,Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,Coal,Coal,Coal
SNL_EARNINGS_RELEASE_DATE,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SP_TEV_EBITDA_FWD,,,,,,,,,SNL_ATTRIBUTABLE_RESV_TONNES,SNL_ATTRIBUTABLE_M_AND_I_RESRC_TONNES,SNL_ATTRIBUTABLE_TOTAL_RESRC_TONNES
,,,,,,,,,,,,,,,FQ0,FH0,,,,SP_OG_AVG_DAILY_PROD_EST,,,,,,MRQ,,
,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,
,266693.57993388316,220100.28312133014,Shell,LSE:SHEL,,4.1417117508484,5.4746177860469,5.2190867088745,0.14100728113507954,0.10604302579262828,,8.3760018530351,12.2183273604075,12.3812235154221,0.710158597832599,0.431,3.5942315155368,4.7607355959869,4.9818749552323,2700.42208,2754.38462,2788.53846,98.75996123312811,96.82510496078909,95.63919729257854,0,0,0
,152791.97490197653,95737.17375885794,BP,LSE:BP.,,3.8441498418066,4.0357802824141,4.1085616381223,0.11785077370696966,0.0938428579752047,,10.4184328614786,13.6043820686214,14.1113483422619,0.976166204505004,0.98,3.6910574751609,4.3747300456956,4.4116854408824,2361.19,2305,2311.9,64.70973318622242,66.28719084684448,66.08935287078876,0,0,0
,198369.10559423504,163588.92121188884,TotalEnergies SE,NYSE:TTE,,4.5563253286989,6.2081663921219,6.630854704317,0.07592181089031705,0.06184063557028204,,7.5987582098983,10.5436512497917,11.4795047407451,0.7676748065441852,0.523,3.8844016032372,5.0774481098534,5.5009639070206,2419.58333,2508.5,2558.6,81.98482074772562,79.07877440471798,77.5303312726628,0,0,17020
,80098.4444507772,67503.29415158137,Equinor,OB:EQNR,0.8327880049106523,3.327205252361,3.48251092819,,0.09814965452089405,0.08778830832600447,,7.5211474071265,10.3956275992648,,0.30123352190395547,0.771,1.6782116037516,1.9654993578629,2.3755137889327,1997.6,2059.54167,2122.64444,40.097339032227275,38.89139298200128,37.73521506540078,,,
,5188.871149252949,2135.2359497459183,Energean PLC,LSE:ENOG,0.8857290600000001,1.8180834955,1.9805336832,1.6967115689,0.14471780977496662,0.24240880735526754,,8.0165194666,7.9467467045,5.7701246993,3.0451669323515307,5.436,5.0324094629505,5.0589367971086,4.7623109561928,125.54667,148.279,148.8465,41.33021727500179,34.99397183183694,34.860551973025565,,,
,23140.884927350613,18627.579192365978,Neste Oyj,HLSE:NESTE,0.91517857,6.4002155862,12.7835590712,9.0507726269,-0.03303208117583592,0.01473553806638149,,32.9756154001,41.7111055091,19.1179624914,3.048700321957429,0.709,9.4636423719932,13.3571277446156,9.0754794837375,0,0,0,,,,,,
,,,,Average,,3.9929307963275003,4.7551990342305,4.6638241734984,0.1294290274210246,0.09994294188391649,,9.39721735725685,12.911354714514449,13.246285928842,,,3.64264449534885,4.56773282084125,4.6967801980573505,2530.80604,2529.69231,2550.21923,81.73484720967527,81.5561479038168,80.86427508168364,,,
,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
,98099.38682423414,84475.63808140915,Canadian Natural Resources,TSX:CNQ,1.09908997,5.7034605721,7.7685428721,8.5936942333,0.07641087490825635,0.06792130194932856,,10.9388661439,16.5664047192,20.465480669,1.085968316835898,0.447,6.1088251030859,7.5835013743909,8.0696561549396,1355.06375,1568.47459,1622.84765,72.3946654349171,62.544453987127795,60.44891941904352,0,0,0
,73473.50402789652,65525.52397702588,Suncor Energy,TSX:SU,1.2024304399999999,5.0869765952,7.0121158216,7.6594479086,0.0802925908966145,0.07211455804942904,,10.2570551272,16.0084334509,21.2648634891,0.6336277413038609,0.321,4.721378919739,6.1739603422682,7.2744255389383,827.3926,857.61636,866.31243,88.80125834808834,85.67176123820273,84.811785544733,0,0,0
,58293.27009032283,56562.93317734546,Imperial Oil Ltd,TSX:IMO,1.74926086,8.5221564539,11.4512886713,14.8794525881,0.05665481114733156,0.054251717896870215,,11.7038360626,17.9614101671,23.7787949834,0.2889734604136275,0.178,6.9124868940109,9.7046512284218,11.9930215120221,433.28338,442.52758,453.08527,134.53844015508471,131.72799329326057,128.65849752812056,0,0,0
,46706.63255723376,40661.803432334505,Cenovus Energy Inc,TSX:CVE,0.97631216,5.0648169206,6.4383783334,6.8563177567,0.06540109740466163,0.047829039355282,,11.7965505551,15.8913515205,23.2815613829,0.7874913187762419,0.356,4.734454193043,6.4491072619784,6.5126488048065,795.50731,832.2194,957.3621,58.71301491526679,56.12297977820964,48.78679922386081,0,0,0
